rin,eng
Pero bagana uda gustong mag-irungog.,But it seemed no one wanted to listen.
Ngayo-ngayo niyang agko iya maginibo.,She wished she could do something.
"Usad na bagay na agko saysay, bagay na mapapamaray su mga salang nabayad niya.","Something more, something to make the wrongs that she saw better."
Usad na aldow nag-imo na sana 'ya ku mga gamit niya pala sinabiyan si mama niyang paiyan iya sa darwang semanang immersion.,One day she simply packed her bags and told her mother that she was going on a two-week immersion.
Tanganing lalong makatuod sa pagbago ka banwa ag ka buway.,To learn more about changing how the country and life was.
"Tanganing umiyan kin sari iya mas makakatabang, saka makabayad sa pagbabago.","To go where she could really help, and to see change."
Pinugulan iya ni mama niya.,Her mother tried to stop her.
Pero diri iya kaya pariyong binsiron na diri maggalin o igapos tanganing di' makagalin.,But could neither convince her not to go nor tie her down.
"Sa uri, su mama niya migsabing uda man basang kuno patara-tara na su igin niyang ba-bayi arog kadto namamati, na arog kadto kakusog.","Later, her mother would say that there had been no warning that her daughter had felt like that, or that strongly."
Uda risang senyales arog ka mga pulang librong binasa man ngaya.,No telltale signs of red books being read.
Uda mga sikretong tagbuan pagkatapos ka klase.,No secret after-school meetings.
Uda mga ibinoses na kaisipan manungod sa pulitika.,No voiced thoughts on politics.
Su igin niyang babayi pirming mag-uuli sa tamang oras.,Her daughter would always come home on time.
Miggibo sa mga gibo sa baloy ag pang-iskwela.,Do her chores and assignments.
"Mikistorya sa pamilya, saka makitawanan kanda.","Talk to her family, and laugh with them."
Amo man nanggad su buot sa maray na kauryan na igin na babayi ag ubin na ngod na babayi.,Very much the desired youngest daughter and younger sister.
Uda basang patara-tara na su igin niya nagigin igin sa kawsa.,There was no warning that her child was becoming the child of a cause.
"Si Ate Lynn niya pinirit iyang suludon ku ramrag na naggalin iya, pigbabaoy su ngaran niya duru-doble.","Her Ate Lynn tried to go after her on the morning she left, calling her name over and over."
Pero nagngisi sana iya saka nagkaway anggan sa mauda na sa panilag su jeep na linulunadan niya.,But she just smiled and waved until the jeepney she was riding disappeared from view.
"Nauda iya sa buway nira, nag-iyan man sa bukid, arog ni Kuya niya.","She disappeared from their lives, going off into the mountains, too, like her Kuya."
Su una niyang bukid a baoy Sagrada.,Her first mountain was called Sagrada.
Su barangay na tanuman sa mais sa Iriga.,This barangay of cornfields in Iriga.
Tadi na naman su mga malang puputi.,The fair ones have come again.
Amo masasabi manungod kanya saka ku mga arog niya ku mga tawo na arog kabulaw ku mga magugurang nang mga sanga sa kawoy labing nagsisilong kandang nag-aaging nakalinya.,As she and others like her would be said of among themselves by the people who were as brown as old tree branches watching them trooping in lines.
Su mga beses na su kag-igin niyang babayi nagmurong kin nabayad iya sadto tindahan.,The times that her mother thought that she saw her in the grocery store.
O nag-uulat sadto luwas ku baloy nira kanya.,Or waiting outside their house for her.
O su mga beses na si Ate Lynn niya naisip kin nabayad man nanggad niya iya sadto iskwelan niya o sadto kwarto nira.,Or the times her Ate Lynn thought that she saw her in her school or in their room.
O su ngamin na beses na naisip nirang kaiba nira iya.,Or all those times that they thought she was with them.
Ako talaga su nababayad nira.,They were really seeing me.
"Pala nag-arabutan na su mga surat, sinurat sa amarilyong papel na pinadara sa puting sobre na a selyo galin sa iba-ibang banwaan.","Then the letters came, written in yellow paper and sent in plain white envelopes stamped from different towns."
Su mga surat pirming a sabi maray man iya.,The letters would always say that she was all right.
"Na mamuya iya kin sari man iya, ginigibo kin uno man gibo niya.","That she was happy wherever she was, doing what she did."
Pirmi niyang sasabiyan si mama ag Ate Lynn niya na diri magparaadit.,She would always tell her mother and Ate Lynn not to worry.
Diri niya sinabing usad na beses nagngayo-ngayo iyang kintana diri na sana niya pinutol su maaba niyang bulaw na bok.,She didn't say that once she wished that she didn't have to shear off all her long brown hair.
Ta kawasang mala kadi kapilpilsa kuto.,Because it was infested with lice.
"Diri niya sinabing minsan magngangayo-ngayo iyang nagkakaon iya sa masiram na pagkaon, o natuturog sa kumportableng lugar.",She didn't say that sometimes she wished she were eating better food or sleeping in better places.
Diri niya sinabing nagngayo-ngayo iyang iya ag su mga kaibanan niyang ibang tawo diri na kaipuwan magdulag sadto mga suldados na nagsusulod kanda.,She didn't say that she wished she and the people with her didn't have to flee from the soldiers pursuing them.
Diri nira kaipuwan magparadudulag.,Didn't have to run for their lives.
Kin uugkuron uda man sira ginigibong maraot.,After all they were not doing anything wrong.
Tinnatabang man sana sira.,They were only helping.
Saka kin minsan magngangayo-ngayo iyang diri na sana niya ginibo su mga bagay na ginibo na niya.,And that sometimes she wished that she didn't have to do some of the things that she had done.
"Puru-pirmi nagngayo-ngayo iyang dawa sari iya, nagbabago a buway saka mas nagigin tultol na.","Most of the time she wished that wherever she was, life was really changing and it was getting better."
Diri niya sinabing nagngayo-ngayo iyang mag-pundo sa pag-isip na bagana agko tawo o bagay na nagsusulod kanya.,She didn't say that she wished that she would stop feeling as if someone or something was running after her.
Na gustong abuton iya.,Trying to catch up on her.
Nagbabaoy kanya.,Calling her.
Su mga surat niya uda sabing pag nalilipungow talaga iya ku kag-igin niyang babayi saka ki Ate Lynn niya nagngayo-ngayo iyang pumauli na sana iya.,Her letters didn't say that when she really missed her mother and her Ate Lynn she wished that she could just go home.
"Nagngayo-ngayo iya, pero tinnuyo iya saka diri nag-agrangay.","She wished, but she stayed and she never complained."
"Ku mas lalo iyang nagparangayo-ngayo, mas lalo man lugod na su mga tawong nakakabisto kanya.","And the more that she wished, the more that people who knew her."
Su mga natagak niya.,Those she had left behind.
"Ba'na mababayad iya kin sari alagad mas gurang na iya, na agko ginigibong ibang bagay, kin minsan.","Would catch a glimpse of an older her somewhere else, doing something else, sometimes."
"Pag nababayad nira ako, su kag-igin niyang babayi saka ngod na babayi mapapaangos sa ginnawa.","When they would see me, her mother and sister would sigh in relief."
Pupuon na magngisi.,Begin to smile.
Magkimat.,Blink.
"Ag pag sinnilong utro, uda na ako.","And the next time they looked, I would be gone, too."
"Pag-agi sa pirang taon, su tiil niya biyong nasurip labing pigtatabangan niya su mga parakaingin.","Years later, her feet got badly infected while she was helping the kaingin farmers."
Ag pina-uli iya 'nganing magpabulong saka magparay.,And she was sent home to get the proper medical treatments and to heal.
Innabot iya sadto baloy nira usad na ramrag.,She arrived at their house one morning.
Bago magliwanag.,Just before dawn.
Kiay-kiay na.,Limping.
Su kag-igin niyang babayi ag su Ate Lynn niya napabura sa kasindakan.,Her mother and her Ate Lynn had cried in shock.
Diri makatubod na sadto man nangga'd iya.,Unbelieving that she was really there.
Tapos sa andal pagkabayad ku tiil niya.,And then in worry upon seeing her feet.
"Pero muya sira, muya na napauli iya.","But they were happy, happy that she was home."
Namuya iyang nakauli ag ako man mamuyang binalik sadto anino niya.,She was happy to be home and I was happy to return to her shadow.
Maugma iyang nakauli.,She was happy to stay at home.
Tuni-nong na makakaon saka maturog.,To eat and sleep in peace.
Lutuan sira.,To cook for them.
Makausip sira manungod ka buway-buway nira pero nungka ku buway niya.,To talk to them about their lives but never about her life.
Saka gumibo sa mga bagay na gibo-gibo ka mga igin na babaying arog niya.,And to do some of the things that girls her age would do.
Arog baga ngaya ka magkape sa Starbucks o paiyan sa mall.,Like having coffee at Starbucks or going to the mall.
"Paglipas sa pirang bulan, sinelebrar nira su pandisiotsong kumpleanyo niya kaya su kag-igin niyang babayi nagpuon nang maglaom na pumpirmi na iya.","After several months, they celebrated her 18th birthday and her mother began to hope that she would stay."
Usad na gabi na pariyo sirang nagbabatang sadto katre ku mga kag-igin niya amo man nanggad na sinabi ku kag-igin niyang babayi.,One night they were both lying down on her parents' bed and her mother said as much.
Tibaad pwede ikang bumalik sa hayskul 'nganing makagradwar.,Maybe you can go back to high school and graduate.
"O kin diri, magluog ika sa culinary school ta kagusto mo man sa maray na magpaparaluto.","Or if not, enroll in a culinary school since you love cooking so much."
Ugday kanya ku kag-igin niyang babayi.,Her mother suggested to her.
Tuninong sana iyang nagtindog pa'la naggalin sadto kwarto.,She quietly stood up and left the room.
"Binalik ako, ginakos ko su kag-igin niyang babayi.","I returned, hugging her mother."
"Kin pwede sanang magngayo-ngayo, migngayo-ngayo kintana akong mag-istar na sana sadto kanamo, uli, sabi ko.","If only I could wish, I would have wished that I could stay home, too, I said."
Pero nagtutubod ako sa kin uno mga ginigibo ko saka isi ko kin uno kaabutan.,But I believe in what I'm doing and I know the consequences.
Su kag-igin niyang babayi inangos sana saka tinnango.,Her mother had only sighed and nodded.
"Pagmata nira kinaramragan, uda na iya.","When they woke up the next day, she was gone."
"Sa paglipas ku panawon, pauuli iya saka mag-gagalin na bagana kitkilat, migsabi sanang diri iya pwedeng mag-uban.","As time passed, she would come and leave like lightning, saying that she couldn't stay."
Migsabi sanang bukong areglado.,Saying that it wasn't safe.
Migsabi sanang gusto sana niya sirang mabayad.,Saying that she just wanted to see them.
"Sa paglipas ku mga panawon, su kag-igin niyang babayi ag Ate Lynn niya natuod na sana ka mauban niyang kaudaan, saka madalian na presensya.","As time passed, her mother and Ate Lynn had learned to get used to her long absences, and fleeting presence."
Tapos usad na aldow kin uno man su nginangayo-ngayo nirang diri magkamatuod nagkamatuod.,Then one day what they wished would not come true did.
Kaya nag-iyan ako kanda sa oras kin kuno iya mag-aabot pag nag-uuli.,And I came to them at the hour that she would usually come home.
"Pag-una ku kag-igin niyang babayi ako iya, maugma ku una.","Her mother thought I was she, happy at first."
Tapos nakatakot ku mabayad man nanggad niyang buko ako su igin niyang babayi.,Then afraid when she finally saw that I wasn't her daughter.
"Diri iya nag-unga kin isay ako, kin uno ako.","She did not ask who I was, what I was."
Sabiya raw kanako.,Tell me.
Pakiusip ku kag-igin niyang babayi.,Her mother asked.
Sabiyon mo kanakong buway pa iya.,Tell me she's alive.
"Diri ko magibo, kaya kinnuyong sana su payo ko.","I could not, so I shook my head."
Su lalawgon ku kag-igin niyang babayi nagpabayad sa sindak pa'la biglang napasibog ta agko tinningab kanyang malang rarom.,Her mother's face showed shock and then she flinched as something deeper gouged her.
Diri ko mapunan maisip kin uno man namati ku kag-igin niyang babayi.,I could not even begin to imagine how her mother felt.
Pig-iisip ko na kin uno man su sinnabrit kanya kadto magigin pag-ako na sana sa kaubanan.,Wondering if what had raked her raw would someday give way to acceptance.
Tuninong niyang pig-uunga kin pauno nagraan su igin niyang babayi.,She was silently asking how her daughter died.
Gusto ko iyang sabiyan na su igin niya diri nagraan na solo.,I wanted to tell her that her daughter did not die alone.
Na kaibanan niya ako.,That I was with her.
Pero diri ko masabi kanya.,But I could not tell her.
"Diri ko sinabi kanyang nag-aagi sana iya, na bagana naglalamyerda sadto mga uma.","I did not tell her that she was just walking, as if taking a stroll in the fields."
Tinangad su payo niya sadto aldow tapos pinirong su mata sadto init.,Turning her head up to the sun and closing her eyes against its warmth.
Na nakangisi iya.,That she was smiling.
Tapos biglang binnuklat su mata.,Then her eyes had snapped open.
Pa'la nauda na su ngisi sadto lalawgon niya ta su mga kaibanan niya sinilyakan na iyang dumalagan.,And the smile was wiped off her face when her companions screamed at her to run.
